timestamp,id,caption,hashtags,like_count,comment_count,share_count,save_count,positive_percentage,negative_percentage,reach,impressions,engagement_type,video_views,video_duration,location,device_type,time_spent,link_clicks,profile_visits,follower_count,audience_age_group,audience_gender
2025-01-10 23:56:17.962196,POST_000001,Enjoying a beautiful sunset 🌅 #nature #peace,#nature #peace #sunset #evening,202,92,28,108,62%,6%,2021,7675,carousel,1263,150,London,mobile,19,13,135,19555,"18-24: 30%, 25-34: 45%, 35-44: 25%","Male: 45%, Female: 55%"
2025-01-09 23:56:17.962196,POST_000002,New product launch! 🚀 #business #innovation,#business #innovation #product #launch,535,96,48,68,66%,24%,4461,2161,photo,2735,77,London,mobile,19,32,77,15450,"18-24: 25%, 25-34: 50%, 35-44: 25%","Male: 48%, Female: 52%"
2025-01-08 23:56:17.962196,POST_000003,Monday motivation 💪 #fitness #health,#fitness #health #motivation #workout,960,84,34,78,80%,32%,3613,6297,video,879,153,New York,mobile,30,24,115,11663,"18-24: 35%, 25-34: 40%, 35-44: 25%","Male: 52%, Female: 48%"
2025-01-07 23:56:17.962196,POST_000004,Delicious healthy breakfast 🥑 #food #healthy,#food #healthy #breakfast #nutrition,370,84,42,189,68%,11%,2129,3981,photo,992,95,Paris,mobile,46,52,94,19721,"18-24: 20%, 25-34: 55%, 35-44: 25%","Male: 40%, Female: 60%"
2025-01-06 23:56:17.962196,POST_000005,Team meeting success 👥 #business #team,#business #team #success #corporate,206,97,6,34,77%,12%,4843,2995,photo,1680,150,New York,tablet,17,38,111,15592,"18-24: 40%, 25-34: 35%, 35-44: 25%","Male: 47%, Female: 53%"
2025-01-05 23:56:17.962196,POST_000006,Weekend vibes 🎉 #weekend #fun,#weekend #fun #happiness #lifestyle,171,33,25,194,63%,39%,4893,8413,video,2562,177,Paris,desktop,55,45,183,17392,"18-24: 30%, 25-34: 45%, 35-44: 25%","Male: 51%, Female: 49%"
2025-01-04 23:56:17.962196,POST_000007,Morning routine 🌞 #wellness #mindfulness,#wellness #mindfulness #morning #selfcare,800,12,37,70,84%,18%,2500,6911,carousel,564,177,London,desktop,36,22,77,11306,"18-24: 25%, 25-34: 50%, 35-44: 25%","Male: 44%, Female: 56%"
2025-01-03 23:56:17.962196,POST_000008,Tech update 💻 #technology #digital,#technology #digital #tech #innovation,120,31,16,127,73%,21%,1702,5342,photo,1867,47,New York,mobile,43,41,77,16776,"18-24: 35%, 25-34: 40%, 35-44: 25%","Male: 54%, Female: 46%"
2025-01-02 23:56:17.962196,POST_000009,Customer success story 🏆 #success #business,#success #business #customers #growth,714,62,26,74,68%,8%,3449,6551,video,1652,137,Sydney,mobile,53,80,157,15864,"18-24: 28%, 25-34: 47%, 35-44: 25%","Male: 49%, Female: 51%"
2025-01-01 23:56:17.962196,POST_000010,Environmental awareness 🌍 #sustainability #green,#sustainability #green #environment #eco,221,11,48,83,85%,6%,3777,9629,photo,2527,19,Tokyo,mobile,56,68,93,19474,"18-24: 33%, 25-34: 42%, 35-44: 25%","Male: 46%, Female: 54%"
